date_ist_close,trades,wins,losses,net_r,net_pnl,skipped,cumulative_r
2026-08-18,0,0,0,+0.00R,+0.00000,99,+0.00R
2026-08-19,0,0,0,+0.00R,+0.00000,5,+0.00R
2026-08-21,0,0,0,+0.00R,+0.00000,34,+0.00R
2026-08-22,0,0,0,+0.00R,+0.00000,5,+0.00R
2026-08-24,0,0,0,+0.00R,+0.00000,4,+0.00R
2026-08-25,0,0,0,+0.00R,+0.00000,3,+0.00R
2026-08-29,0,0,0,+0.00R,+0.00000,3,+0.00R
2026-09-02,0,0,0,+0.00R,+0.00000,14,+0.00R
2026-09-03,0,0,0,+0.00R,+0.00000,1,+0.00R
2026-09-07,0,0,0,+0.00R,+0.00000,34,+0.00R
2026-09-08,0,0,0,+0.00R,+0.00000,2,+0.00R
2026-09-10,0,0,0,+0.00R,+0.00000,3,+0.00R
2026-09-11,325,179,146,+42.60R,+834.64380,9,+42.60R
2026-09-12,6,4,2,+0.40R,-2.17245,0,+43.00R
2026-09-13,14,8,6,+3.60R,+121.59205,3,+46.60R
2026-09-14,10,5,5,-1.40R,-56.28671,1,+45.20R
2026-09-15,10,7,3,+1.80R,+629.14142,4,+47.00R
2026-09-16,12,6,6,-2.40R,+277.70075,3,+44.60R
2026-09-17,4,0,4,-4.00R,-58.91848,3,+40.60R
2026-09-18,20,17,3,+10.20R,+1014.87818,5,+50.80R
2026-09-19,11,11,0,+8.40R,+613.41145,5,+59.20R
2026-09-20,4,3,1,+5.40R,+194.60426,5,+64.60R
2026-09-21,13,12,1,+7.40R,+1886.39314,8,+72.00R
2026-09-22,14,9,5,+1.00R,-278.25181,2,+73.00R
2026-09-23,16,8,8,-3.20R,-141.23141,0,+69.80R
2026-09-24,1,0,1,-1.00R,-15.85736,0,+68.80R
2026-09-25,11,4,7,-4.00R,-765.42204,0,+64.80R
2026-09-26,2,0,2,-2.00R,-0.23412,0,+62.80R
